review,rating,date,bank,source,language,sentiment,sentiment_score,themes
wow,5,2025-11-23,CBE,Google Play,other,POSITIVE,0.999592125415802,['Other']
nice,5,2025-11-22,CBE,Google Play,other,POSITIVE,0.9998552799224854,['Other']
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,en,NEGATIVE,0.9818922877311707,['Other']
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,en,POSITIVE,0.9998483657836914,['Other']
excellent,5,2025-11-22,CBE,Google Play,other,POSITIVE,0.9998434782028198,['Other']
ዳጊ,5,2025-11-21,CBE,Google Play,am,NEUTRAL,0.0,['Other']
absolutely right,5,2025-11-21,CBE,Google Play,en,POSITIVE,0.9998525381088257,['Other']
mid application it's so annoying,3,2025-11-20,CBE,Google Play,en,NEGATIVE,0.9997883439064026,['Other']
I used morethan one year,4,2025-11-20,CBE,Google Play,en,NEGATIVE,0.9802080988883972,['Other']
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,en,NEGATIVE,0.9920698404312134,['Other']
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,en,POSITIVE,0.9998750686645508,['Other']
Nice,5,2025-11-19,CBE,Google Play,other,POSITIVE,0.9998552799224854,['Other']
suckkkks,1,2025-11-19,CBE,Google Play,other,NEGATIVE,0.9737536311149597,['Other']
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,en,NEGATIVE,0.9991471767425537,['Transaction Issues']
I love you this app,5,2025-11-19,CBE,Google Play,en,POSITIVE,0.9998642206192017,['Other']
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,en,POSITIVE,0.9993645548820496,['App Performance']
make life easy,5,2025-11-19,CBE,Google Play,en,POSITIVE,0.999527096748352,['Other']
securr,5,2025-11-19,CBE,Google Play,other,NEGATIVE,0.989194393157959,['Other']
My most optional bank,5,2025-11-17,CBE,Google Play,en,POSITIVE,0.7555261254310608,['Other']
5 star,5,2025-11-16,CBE,Google Play,other,POSITIVE,0.9964116215705872,['Other']
it is fantastic app.,5,2025-11-16,CBE,Google Play,en,POSITIVE,0.9998733997344971,['Other']
sifen,5,2025-11-16,CBE,Google Play,other,NEGATIVE,0.8473548293113708,['Other']
i like this√,4,2025-11-16,CBE,Google Play,other,POSITIVE,0.9998555183410645,['Other']
Ok,3,2025-11-16,CBE,Google Play,other,NEUTRAL,0.0,['Other']
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,am,NEGATIVE,0.3068463206291199,['Other']
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,en,NEGATIVE,0.9996232986450195,"['Customer Support', 'Fees & Charges']"
Like,5,2025-11-13,CBE,Google Play,other,POSITIVE,0.9910564422607422,['Other']
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,en,POSITIVE,0.9998588562011719,['Other']
Good,5,2025-11-13,CBE,Google Play,other,POSITIVE,0.9998161196708679,['Other']
smart app,4,2025-11-12,CBE,Google Play,other,POSITIVE,0.999789297580719,['Other']
good App,5,2025-11-12,CBE,Google Play,other,POSITIVE,0.9998493194580078,['Other']
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,en,NEGATIVE,0.992516815662384,['Customer Support']
ok,5,2025-11-11,CBE,Google Play,other,NEUTRAL,0.0,['Other']
cbe is my choice,4,2025-11-11,CBE,Google Play,en,POSITIVE,0.9987378716468811,['Other']
Awesome,5,2025-11-11,CBE,Google Play,other,POSITIVE,0.9998682737350464,['Other']
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,en,NEGATIVE,0.999775230884552,['Transaction Issues']
Very convenient App,5,2025-11-11,CBE,Google Play,en,POSITIVE,0.9945734143257141,['Other']
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,other,NEGATIVE,0.9832204580307007,['Other']
wow apk,5,2025-11-10,CBE,Google Play,other,POSITIVE,0.9992477893829346,['Other']
best 100 %,5,2025-11-10,CBE,Google Play,other,POSITIVE,0.9998010993003845,['Other']
bad app,1,2025-11-10,CBE,Google Play,other,NEGATIVE,0.9997212290763855,['Other']
best app,5,2025-11-10,CBE,Google Play,other,POSITIVE,0.999686598777771,['Other']
nice app,5,2025-11-10,CBE,Google Play,other,POSITIVE,0.9998061060905457,['Other']
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,en,POSITIVE,0.886974573135376,['Other']
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,en,NEGATIVE,0.9996213912963867,['Other']
👌👌,5,2025-11-10,CBE,Google Play,unknown,NEUTRAL,0.0,['Other']
best 👌,5,2025-11-10,CBE,Google Play,other,POSITIVE,0.9997019171714783,['Other']
not Refresh,2,2025-11-10,CBE,Google Play,en,NEGATIVE,0.9990518689155579,['Other']
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,en,NEGATIVE,0.99908447265625,['Other']
good very good,5,2025-11-09,CBE,Google Play,other,POSITIVE,0.9998477697372437,['Other']
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,en,NEGATIVE,0.9997031092643738,"['App Performance', 'Transaction Issues']"
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,other,NEGATIVE,0.9800481200218201,['Other']
Good !,5,2025-11-08,CBE,Google Play,other,POSITIVE,0.9998268485069275,['Other']
i like it,5,2025-11-08,CBE,Google Play,other,POSITIVE,0.9998593330383301,['Other']
Very nice app,5,2025-11-08,CBE,Google Play,en,POSITIVE,0.9998562335968018,['Other']
the app is not functional this week.,4,2025-11-08,CBE,Google Play,en,NEGATIVE,0.9996664524078369,['Other']
very updated bank,5,2025-11-05,CBE,Google Play,en,POSITIVE,0.999656081199646,['Other']
tankyu,5,2025-11-05,CBE,Google Play,other,POSITIVE,0.8404369354248047,['Other']
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,en,NEGATIVE,0.9866906404495239,['Other']
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,en,NEGATIVE,0.9989122152328491,"['App Performance', 'Customer Support']"
loved it,5,2025-11-05,CBE,Google Play,other,POSITIVE,0.9998797178268433,['Other']
this app is not working on my phone,5,2025-11-03,CBE,Google Play,en,NEGATIVE,0.9996734857559204,['App Performance']
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,en,NEGATIVE,0.9640246629714966,"['Transaction Issues', 'Fees & Charges']"
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,en,NEGATIVE,0.9985938668251038,['Other']
wow 😘😘😘,4,2025-11-02,CBE,Google Play,other,POSITIVE,0.9992976188659668,['Other']
mobile banking broblem,5,2025-11-01,CBE,Google Play,other,NEGATIVE,0.991805911064148,['Other']
good job,5,2025-11-01,CBE,Google Play,other,POSITIVE,0.999835729598999,['Other']
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,en,POSITIVE,0.9998574256896973,['Other']
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,am,POSITIVE,0.4286443591117859,['Transaction Issues']
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,en,POSITIVE,0.9998561143875122,['Customer Support']
niiceh,5,2025-10-29,CBE,Google Play,other,POSITIVE,0.8779531717300415,['Other']
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,en,POSITIVE,0.9965399503707886,['Other']
🤮,1,2025-10-29,CBE,Google Play,unknown,NEUTRAL,0.0,['Other']
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,other,POSITIVE,0.9634568691253662,['Other']
strong,5,2025-10-28,CBE,Google Play,en,POSITIVE,0.999862551689148,['Other']
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,other,NEGATIVE,0.5422850251197815,['Other']
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,en,POSITIVE,0.9990962743759155,['Other']
Cbe,5,2025-10-27,CBE,Google Play,en,POSITIVE,0.9966009855270386,['Other']
Active and granted system,5,2025-10-27,CBE,Google Play,en,POSITIVE,0.998322069644928,['Other']
fast app,4,2025-10-26,CBE,Google Play,other,POSITIVE,0.9983617663383484,['App Performance']
cool 😎,5,2025-10-26,CBE,Google Play,en,POSITIVE,0.9997991919517517,['Other']
Galaxy A10s,3,2025-10-26,CBE,Google Play,other,POSITIVE,0.8983983993530273,['Other']
the best apps,5,2025-10-26,CBE,Google Play,en,POSITIVE,0.9998617172241211,['Other']
arif app new,5,2025-10-26,CBE,Google Play,other,NEGATIVE,0.5203986763954163,['Other']
laga Bari biranch,5,2025-10-26,CBE,Google Play,other,NEGATIVE,0.9922856092453003,['App Performance']
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,am,POSITIVE,0.3085778057575226,['Other']
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,en,NEGATIVE,0.9949776530265808,['Fees & Charges']
Attractive,5,2025-10-25,CBE,Google Play,en,POSITIVE,0.9998689889907837,['Other']
mite,5,2025-10-24,CBE,Google Play,other,NEGATIVE,0.9965571165084839,['Other']
useful,5,2025-10-24,CBE,Google Play,other,POSITIVE,0.9997634291648865,['Other']
"not good, not bad!",3,2025-10-23,CBE,Google Play,other,NEGATIVE,0.9981550574302673,['Other']
very good,5,2025-10-23,CBE,Google Play,other,POSITIVE,0.9998520612716675,['Other']
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,am,POSITIVE,0.38226884603500366,"['Transaction Issues', 'Customer Support']"
imp,5,2025-10-22,CBE,Google Play,other,NEGATIVE,0.9978600144386292,['Other']
super fast app,5,2025-10-21,CBE,Google Play,other,POSITIVE,0.9976546168327332,['App Performance']
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,en,NEGATIVE,0.9983618855476379,"['App Performance', 'User Interface']"
cbe,4,2025-10-18,CBE,Google Play,en,POSITIVE,0.9966009855270386,['Other']
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,en,NEGATIVE,0.9991005659103394,['Other']
blah blah blah,5,2025-10-18,CBE,Google Play,other,NEGATIVE,0.9977899789810181,['Other']
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,am,NEGATIVE,0.7565557956695557,['Other']
CBE no.1,5,2025-10-17,CBE,Google Play,other,POSITIVE,0.9968194961547852,['Other']
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,en,POSITIVE,0.996988832950592,['Other']
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,en,POSITIVE,0.9997401833534241,['Other']
gooof,5,2025-10-16,CBE,Google Play,other,NEGATIVE,0.996545135974884,['Other']
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,en,NEGATIVE,0.9996702671051025,"['Customer Support', 'App Performance']"
Best app,5,2025-10-16,CBE,Google Play,other,POSITIVE,0.999686598777771,['Other']
still not perfect like before,1,2025-10-15,CBE,Google Play,other,NEGATIVE,0.9995744824409485,['Other']
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,en,NEGATIVE,0.9985210299491882,['Other']
APPLIED,1,2025-10-14,CBE,Google Play,other,POSITIVE,0.9989719390869141,['Other']
10 years ago,4,2025-10-14,CBE,Google Play,en,POSITIVE,0.9060003161430359,['Other']
Asefa Obsa,5,2025-10-14,CBE,Google Play,other,NEGATIVE,0.9988316893577576,['Other']
it's good app,5,2025-10-14,CBE,Google Play,en,POSITIVE,0.9998689889907837,['Other']
very slow,1,2025-10-14,CBE,Google Play,other,NEGATIVE,0.9997065663337708,['App Performance']
berhan deriba wami,4,2025-10-14,CBE,Google Play,other,POSITIVE,0.7555695176124573,['Other']
mahamad Usman,5,2025-10-13,CBE,Google Play,other,POSITIVE,0.9890894293785095,['Other']
Erako,5,2025-10-13,CBE,Google Play,other,POSITIVE,0.9978224039077759,['Other']
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,unknown,NEGATIVE,0.6970565915107727,['Other']
opne,5,2025-10-13,CBE,Google Play,other,NEGATIVE,0.7972501516342163,['Other']
mehommd nuri,5,2025-10-13,CBE,Google Play,other,POSITIVE,0.9508017301559448,['Other']
Best,5,2025-10-12,CBE,Google Play,other,POSITIVE,0.9997941851615906,['Other']
providing very secure service.,5,2025-10-12,CBE,Google Play,en,POSITIVE,0.9993906021118164,['Customer Support']
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,am,POSITIVE,0.3590475618839264,"['Transaction Issues', 'Customer Support']"
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,am,POSITIVE,0.41240888833999634,['Other']
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,other,POSITIVE,0.9531124830245972,['Other']
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,en,NEGATIVE,0.9994134902954102,['Transaction Issues']
Mamma Husen,2,2025-10-11,CBE,Google Play,other,POSITIVE,0.9694635272026062,['Other']
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,en,NEGATIVE,0.9932369589805603,"['User Interface', 'Transaction Issues']"
exceptional application from others bank,5,2025-10-10,CBE,Google Play,en,POSITIVE,0.9996663331985474,['Other']
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,en,NEGATIVE,0.9849931001663208,['Fees & Charges']
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,other,NEGATIVE,0.6970565915107727,['Other']
really good app,5,2025-10-10,CBE,Google Play,en,POSITIVE,0.9998643398284912,['Other']
smart bank CBE,5,2025-10-10,CBE,Google Play,other,POSITIVE,0.9971417784690857,['Other']
Ali urgesa11,3,2025-10-09,CBE,Google Play,other,NEGATIVE,0.9212201833724976,['Other']
it's good,5,2025-10-09,CBE,Google Play,en,POSITIVE,0.9998360872268677,['Other']
Good apps,5,2025-10-09,CBE,Google Play,en,POSITIVE,0.9998608827590942,['Other']
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,am,POSITIVE,0.34194132685661316,['Other']
best app i ever seen,5,2025-10-09,CBE,Google Play,other,POSITIVE,0.999450147151947,['Other']
it's game changing in financial system,4,2025-10-09,CBE,Google Play,en,POSITIVE,0.9973504543304443,['Other']
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,other,NEGATIVE,0.9171797037124634,['Other']
will good updating,5,2025-10-09,CBE,Google Play,en,POSITIVE,0.9998600482940674,['Other']
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,en,NEGATIVE,0.9994321465492249,"['Fees & Charges', 'Customer Support']"
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,en,NEGATIVE,0.9981147050857544,['User Interface']
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,en,POSITIVE,0.9998753070831299,['Other']
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,en,POSITIVE,0.9998462200164795,['Other']
user compatible app!,5,2025-10-08,CBE,Google Play,other,POSITIVE,0.9933547973632812,['Other']
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,en,NEGATIVE,0.9972966313362122,['Other']
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,en,POSITIVE,0.9998732805252075,['Other']
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,en,POSITIVE,0.9998595714569092,['Other']
Asledin Ibsa,5,2025-10-06,CBE,Google Play,en,POSITIVE,0.9360381364822388,['Other']
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,en,NEGATIVE,0.9996823072433472,['Transaction Issues']
my bank,5,2025-10-05,CBE,Google Play,other,NEGATIVE,0.845909595489502,['Other']
Data,5,2025-10-04,CBE,Google Play,other,POSITIVE,0.961766242980957,['Other']
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,en,NEGATIVE,0.9996047616004944,['App Performance']
excellent app with lots of features,5,2025-10-04,CBE,Google Play,en,POSITIVE,0.9998672008514404,['Other']
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,other,POSITIVE,0.9998119473457336,['Other']
so special,5,2025-10-04,CBE,Google Play,other,POSITIVE,0.9998575448989868,['Other']
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,other,NEGATIVE,0.9492276906967163,['Other']
woow cbe,5,2025-10-03,CBE,Google Play,other,POSITIVE,0.8725983500480652,['Other']
cbe the best bank app,4,2025-10-03,CBE,Google Play,en,POSITIVE,0.9993187189102173,['Other']
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,en,POSITIVE,0.9998519420623779,['Other']
Rijalufaris,5,2025-10-02,CBE,Google Play,other,POSITIVE,0.6782292723655701,['Other']
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,en,NEGATIVE,0.9902864098548889,['Other']
imoo,3,2025-10-02,CBE,Google Play,other,POSITIVE,0.9941620230674744,['Other']
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,en,POSITIVE,0.9915568828582764,"['Customer Support', 'Fees & Charges']"
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,en,NEGATIVE,0.9965750575065613,['User Interface']
enkorabetalen,5,2025-10-01,CBE,Google Play,other,POSITIVE,0.9099953174591064,['Other']
Gamada mahamadi,1,2025-09-30,CBE,Google Play,other,POSITIVE,0.7746046781539917,['Other']
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,en,NEGATIVE,0.9974638223648071,['Other']
verfcasencod,5,2025-09-30,CBE,Google Play,other,NEGATIVE,0.8742530941963196,['Other']
you can't get your own transaction history,1,2025-09-29,CBE,Google Play,en,NEGATIVE,0.9996032118797302,['Transaction Issues']
sintu,5,2025-09-29,CBE,Google Play,other,NEGATIVE,0.9596135020256042,['Other']
BEST,5,2025-09-28,CBE,Google Play,other,POSITIVE,0.9997941851615906,['Other']
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,en,POSITIVE,0.9304206371307373,['Other']
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,en,NEGATIVE,0.8200955986976624,['Other']
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,en,POSITIVE,0.9998365640640259,['Other']
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play,en,NEGATIVE,0.9997864365577698,['Other']
niceapp,5,2025-09-27,CBE,Google Play,other,POSITIVE,0.9998270869255066,['Other']
the best app of all,5,2025-09-25,CBE,Google Play,en,POSITIVE,0.9998633861541748,['Other']
❤️,5,2025-09-25,CBE,Google Play,unknown,NEUTRAL,0.0,['Other']
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,en,NEGATIVE,0.9988370537757874,['Other']
Juhaar,5,2025-09-24,CBE,Google Play,other,NEGATIVE,0.6955305933952332,['Other']
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,en,POSITIVE,0.999567449092865,['Other']
bist app tankyou,4,2025-09-23,CBE,Google Play,other,NEGATIVE,0.9962037205696106,['Other']
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,en,POSITIVE,0.9998074173927307,['Other']
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,en,POSITIVE,0.9998519420623779,"['App Performance', 'Customer Support']"
So good,5,2025-09-23,CBE,Google Play,other,POSITIVE,0.999841570854187,['Other']
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play,en,NEGATIVE,0.9990800619125366,['User Interface']
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,en,NEGATIVE,0.9970171451568604,['Other']
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,en,NEGATIVE,0.7687898874282837,['Transaction Issues']
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,en,NEGATIVE,0.9989680051803589,['Transaction Issues']
very important app,4,2025-09-21,CBE,Google Play,en,POSITIVE,0.9995480179786682,['Other']
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,en,POSITIVE,0.9998689889907837,['Other']
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,other,POSITIVE,0.9943898320198059,['Other']
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,en,POSITIVE,0.9983887672424316,['Transaction Issues']
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,en,NEGATIVE,0.9951974749565125,['Transaction Issues']
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,en,NEGATIVE,0.9981855750083923,['Customer Support']
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play,am,POSITIVE,0.451943039894104,['Other']
asfaw damse,5,2025-09-19,CBE,Google Play,other,NEGATIVE,0.9871633052825928,['Other']
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play,other,NEGATIVE,0.962352991104126,['Other']
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play,en,NEGATIVE,0.9511563181877136,['User Interface']
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play,en,NEGATIVE,0.9966429471969604,['Fees & Charges']
Truly amazing!,5,2025-09-18,CBE,Google Play,other,POSITIVE,0.9998810291290283,['Other']
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play,en,NEGATIVE,0.992244303226471,['Transaction Issues']
😎,5,2025-09-17,CBE,Google Play,unknown,NEUTRAL,0.0,['Other']
