review,rating,date,bank,source
tankyu,5,2025-11-05 21:18:44,CBE,Google Play
nice,5,2025-11-05 21:00:22,CBE,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05 19:58:03,CBE,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05 17:04:20,CBE,Google Play
loved it,5,2025-11-05 15:52:08,CBE,Google Play
Ok,1,2025-11-05 09:05:56,CBE,Google Play
this app is not working on my phone,5,2025-11-03 15:59:45,CBE,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03 09:00:51,CBE,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03 08:43:33,CBE,Google Play
nice,5,2025-11-02 18:01:17,CBE,Google Play
wow 😘😘😘,4,2025-11-02 17:40:51,CBE,Google Play
mobile banking broblem,5,2025-11-01 14:31:06,CBE,Google Play
good job,5,2025-11-01 10:00:05,CBE,Google Play
good,3,2025-11-01 03:18:08,CBE,Google Play
it is a good and clear apps to use,4,2025-10-31 21:16:33,CBE,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31 18:56:09,CBE,Google Play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30 16:17:03,CBE,Google Play
niiceh,5,2025-10-29 20:31:04,CBE,Google Play
the app is good but their is no dark mode you have to add it,3,2025-10-29 17:27:20,CBE,Google Play
🤮,1,2025-10-29 05:23:57,CBE,Google Play
abdulakim abrahim elemoo,5,2025-10-29 00:11:46,CBE,Google Play
good app,5,2025-10-28 18:51:27,CBE,Google Play
strong,5,2025-10-28 17:48:06,CBE,Google Play
good,5,2025-10-28 17:00:09,CBE,Google Play
best,5,2025-10-28 14:52:18,CBE,Google Play
Abebaw Zenebe,5,2025-10-28 08:10:07,CBE,Google Play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27 17:17:26,CBE,Google Play
good,5,2025-10-27 16:23:41,CBE,Google Play
Cbe,5,2025-10-27 13:56:57,CBE,Google Play
Active and granted system,5,2025-10-27 11:06:05,CBE,Google Play
fast app,4,2025-10-26 23:29:51,CBE,Google Play
cool 😎,5,2025-10-26 23:01:39,CBE,Google Play
Galaxy A10s,3,2025-10-26 21:09:04,CBE,Google Play
the best apps,5,2025-10-26 17:52:13,CBE,Google Play
arif app new,5,2025-10-26 11:08:10,CBE,Google Play
laga Bari biranch,5,2025-10-26 06:50:04,CBE,Google Play
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26 02:22:43,CBE,Google Play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25 19:33:25,CBE,Google Play
Attractive,5,2025-10-25 18:23:40,CBE,Google Play
mite,5,2025-10-24 09:40:24,CBE,Google Play
useful,5,2025-10-24 04:47:45,CBE,Google Play
nice,4,2025-10-23 21:56:46,CBE,Google Play
"not good, not bad!",3,2025-10-23 15:14:35,CBE,Google Play
very good,5,2025-10-23 11:22:16,CBE,Google Play
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22 22:17:05,CBE,Google Play
good job,5,2025-10-22 17:14:01,CBE,Google Play
imp,5,2025-10-22 15:26:43,CBE,Google Play
super fast app,5,2025-10-21 12:00:15,CBE,Google Play
good app,4,2025-10-20 15:35:13,CBE,Google Play
useful,5,2025-10-20 11:58:47,CBE,Google Play
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19 08:00:38,CBE,Google Play
cbe,4,2025-10-18 20:26:05,CBE,Google Play
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18 10:14:14,CBE,Google Play
blah blah blah,5,2025-10-18 06:41:44,CBE,Google Play
good,5,2025-10-17 22:35:07,CBE,Google Play
bad ግዴታ መሆንሁ,1,2025-10-17 18:18:53,CBE,Google Play
best,5,2025-10-17 16:30:33,CBE,Google Play
CBE no.1,5,2025-10-17 12:25:31,CBE,Google Play
good,5,2025-10-17 10:07:30,CBE,Google Play
good,5,2025-10-16 20:41:20,CBE,Google Play
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16 20:14:45,CBE,Google Play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16 18:22:14,CBE,Google Play
gooof,5,2025-10-16 12:06:06,CBE,Google Play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16 09:32:51,CBE,Google Play
Best app,5,2025-10-16 01:53:58,CBE,Google Play
best,5,2025-10-15 14:02:58,CBE,Google Play
still not perfect like before,1,2025-10-15 11:01:57,CBE,Google Play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15 10:21:58,CBE,Google Play
APPLIED,1,2025-10-14 21:32:49,CBE,Google Play
10 years ago,4,2025-10-14 20:49:01,CBE,Google Play
Asefa Obsa,5,2025-10-14 20:28:42,CBE,Google Play
best app,4,2025-10-14 18:59:48,CBE,Google Play
it's good app,5,2025-10-14 14:33:12,CBE,Google Play
very slow,1,2025-10-14 12:26:08,CBE,Google Play
berhan deriba wami,4,2025-10-14 05:31:12,CBE,Google Play
good,5,2025-10-13 20:12:28,CBE,Google Play
mahamad Usman,5,2025-10-13 19:01:41,CBE,Google Play
Erako,5,2025-10-13 18:57:56,CBE,Google Play
🔥🔥🔥🔥🔥,5,2025-10-13 12:54:22,CBE,Google Play
opne,5,2025-10-13 10:59:14,CBE,Google Play
mehommd nuri,5,2025-10-13 10:03:33,CBE,Google Play
Best,5,2025-10-12 17:39:13,CBE,Google Play
good,5,2025-10-12 17:11:23,CBE,Google Play
providing very secure service.,5,2025-10-12 16:05:44,CBE,Google Play
good,5,2025-10-12 15:12:10,CBE,Google Play
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12 13:05:40,CBE,Google Play
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12 12:49:52,CBE,Google Play
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12 12:27:05,CBE,Google Play
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12 00:23:36,CBE,Google Play
Mamma Husen,2,2025-10-11 15:36:31,CBE,Google Play
ok,5,2025-10-11 08:25:05,CBE,Google Play
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11 07:21:33,CBE,Google Play
good,5,2025-10-10 17:43:47,CBE,Google Play
exceptional application from others bank,5,2025-10-10 14:58:07,CBE,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10 13:57:42,CBE,Google Play
good👍👍👍😊😊😊,5,2025-10-10 13:32:58,CBE,Google Play
really good app,5,2025-10-10 10:34:19,CBE,Google Play
smart bank CBE,5,2025-10-10 10:33:09,CBE,Google Play
Ali urgesa11,3,2025-10-09 22:22:32,CBE,Google Play
it's good,5,2025-10-09 20:25:30,CBE,Google Play
Good apps,5,2025-10-09 18:54:29,CBE,Google Play
good,5,2025-10-09 18:13:00,CBE,Google Play
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09 14:36:11,CBE,Google Play
good,5,2025-10-09 13:05:57,CBE,Google Play
best app i ever seen,5,2025-10-09 10:38:55,CBE,Google Play
it's game changing in financial system,4,2025-10-09 07:15:15,CBE,Google Play
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09 07:00:33,CBE,Google Play
will good updating,5,2025-10-09 00:46:00,CBE,Google Play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08 20:21:01,CBE,Google Play
why removing screenshot feature why?,2,2025-10-08 18:59:39,CBE,Google Play
very good application! thank you all who participate!,5,2025-10-08 18:51:04,CBE,Google Play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08 14:17:22,CBE,Google Play
user compatible app!,5,2025-10-08 12:10:08,CBE,Google Play
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07 17:02:25,CBE,Google Play
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07 08:40:21,CBE,Google Play
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06 17:28:54,CBE,Google Play
Asledin Ibsa,5,2025-10-06 13:22:58,CBE,Google Play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05 18:50:12,CBE,Google Play
my bank,5,2025-10-05 14:13:11,CBE,Google Play
Data,5,2025-10-04 19:37:13,CBE,Google Play
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04 18:25:23,CBE,Google Play
excellent app with lots of features,5,2025-10-04 15:15:43,CBE,Google Play
very good 👍 mobile banking,5,2025-10-04 14:11:54,CBE,Google Play
so special,5,2025-10-04 05:38:47,CBE,Google Play
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03 20:11:53,CBE,Google Play
woow cbe,5,2025-10-03 19:54:19,CBE,Google Play
cbe the best bank app,4,2025-10-03 16:24:32,CBE,Google Play
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03 14:29:20,CBE,Google Play
Rijalufaris,5,2025-10-02 22:36:22,CBE,Google Play
its Best app But i hate the Repeatedly update request,5,2025-10-02 20:21:49,CBE,Google Play
good app,5,2025-10-02 13:30:47,CBE,Google Play
imoo,3,2025-10-02 13:24:51,CBE,Google Play
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02 10:28:14,CBE,Google Play
screen shoot always not allowed why?,5,2025-10-02 07:32:44,CBE,Google Play
enkorabetalen,5,2025-10-01 13:41:30,CBE,Google Play
good,5,2025-10-01 13:16:04,CBE,Google Play
Gamada mahamadi,1,2025-09-30 23:08:05,CBE,Google Play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30 18:49:55,CBE,Google Play
verfcasencod,5,2025-09-30 08:02:19,CBE,Google Play
you can't get your own transaction history,1,2025-09-29 06:28:47,CBE,Google Play
sintu,5,2025-09-29 02:17:40,CBE,Google Play
BEST,5,2025-09-28 11:30:42,CBE,Google Play
Bank of Ethiopia,5,2025-09-28 10:39:05,CBE,Google Play
"All most Good, but need improvement",5,2025-09-27 22:24:15,CBE,Google Play
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27 14:50:50,CBE,Google Play
poor app all of you guys delete CBE and download BOA,1,2025-09-27 07:57:58,CBE,Google Play
niceapp,5,2025-09-27 05:23:26,CBE,Google Play
good,5,2025-09-26 19:08:50,CBE,Google Play
good,5,2025-09-25 21:12:30,CBE,Google Play
good,5,2025-09-25 20:00:22,CBE,Google Play
the best app of all,5,2025-09-25 17:04:09,CBE,Google Play
❤️,5,2025-09-25 11:39:28,CBE,Google Play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24 16:27:11,CBE,Google Play
Juhaar,5,2025-09-24 16:20:31,CBE,Google Play
I am using CBE app very fantastic.,5,2025-09-24 12:57:13,CBE,Google Play
bist app tankyou,4,2025-09-23 19:31:06,CBE,Google Play
this is very useful and consistent app,5,2025-09-23 15:54:10,CBE,Google Play
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23 15:23:26,CBE,Google Play
So good,5,2025-09-23 14:31:47,CBE,Google Play
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23 07:32:51,CBE,Google Play
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22 14:21:18,CBE,Google Play
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22 13:19:44,CBE,Google Play
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21 21:07:25,CBE,Google Play
very important app,4,2025-09-21 20:55:00,CBE,Google Play
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21 20:05:59,CBE,Google Play
ok,5,2025-09-21 19:43:38,CBE,Google Play
DANTRO BAND!!!,5,2025-09-21 18:18:49,CBE,Google Play
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20 18:56:30,CBE,Google Play
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20 14:07:39,CBE,Google Play
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20 12:57:42,CBE,Google Play
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20 10:52:27,CBE,Google Play
asfaw damse,5,2025-09-19 16:10:57,CBE,Google Play
ok,5,2025-09-19 15:08:46,CBE,Google Play
nice,5,2025-09-19 14:04:57,CBE,Google Play
jabadhaa namatii tolataan,5,2025-09-19 13:32:57,CBE,Google Play
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19 09:26:17,CBE,Google Play
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18 18:58:07,CBE,Google Play
Truly amazing!,5,2025-09-18 08:44:33,CBE,Google Play
Doesn't have option to generate statement for transactions,3,2025-09-18 08:36:32,CBE,Google Play
😎,5,2025-09-17 23:46:45,CBE,Google Play
JanaleBl,5,2025-09-17 19:18:10,CBE,Google Play
very good,5,2025-09-17 15:10:49,CBE,Google Play
very good,5,2025-09-17 13:49:31,CBE,Google Play
nice application,5,2025-09-17 11:36:20,CBE,Google Play
WaaaaaaaW,1,2025-09-17 11:26:12,CBE,Google Play
very nice,5,2025-09-16 21:28:03,CBE,Google Play
Of,5,2025-09-16 11:18:38,CBE,Google Play
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16 09:50:11,CBE,Google Play
Easy to use and not Complicated 👍,5,2025-09-15 18:03:48,CBE,Google Play
apdat the app,5,2025-09-14 18:24:01,CBE,Google Play
good in bankin at any time & any where.,5,2025-09-13 22:47:20,CBE,Google Play
great,5,2025-09-13 20:32:19,CBE,Google Play
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13 14:13:44,CBE,Google Play
it is best to me,1,2025-09-13 11:40:50,CBE,Google Play
hayizgi mebrahtom feshay,5,2025-09-13 10:32:59,CBE,Google Play
best,5,2025-09-13 08:07:51,CBE,Google Play
good,5,2025-09-12 18:17:06,CBE,Google Play
great,5,2025-09-12 16:13:28,CBE,Google Play
Excellent app,5,2025-09-12 14:00:58,CBE,Google Play
good,5,2025-09-12 11:07:23,CBE,Google Play
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12 08:01:39,CBE,Google Play
love,5,2025-09-12 07:19:31,CBE,Google Play
good,3,2025-09-11 12:56:33,CBE,Google Play
Hasasa bank,1,2025-09-11 09:01:34,CBE,Google Play
All ways Trusted.,5,2025-09-11 07:42:25,CBE,Google Play
best MB application in Ethiopia financial sector.,5,2025-09-11 05:39:40,CBE,Google Play
I like this app,5,2025-09-11 05:29:46,CBE,Google Play
am tired why I have to update every 5 day,1,2025-09-11 04:00:14,CBE,Google Play
excellent,5,2025-09-10 19:55:36,CBE,Google Play
best,5,2025-09-10 18:00:16,CBE,Google Play
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10 16:45:50,CBE,Google Play
good morning 🙏,5,2025-09-10 06:39:49,CBE,Google Play
nice,5,2025-09-09 16:02:31,CBE,Google Play
am happy 😃,5,2025-09-09 10:57:20,CBE,Google Play
good,5,2025-09-09 10:40:21,CBE,Google Play
wowww,5,2025-09-08 19:07:26,CBE,Google Play
KEHRU nasir AbFIXA,5,2025-09-08 19:06:34,CBE,Google Play
It is well organized.,5,2025-09-08 15:22:41,CBE,Google Play
Can't see the nearest Branch or ATM available,2,2025-09-08 12:24:27,CBE,Google Play
excellent,5,2025-09-08 07:28:57,CBE,Google Play
very good,5,2025-09-07 16:14:53,CBE,Google Play
the app does not open,1,2025-09-07 11:54:04,CBE,Google Play
from Monk,3,2025-09-06 20:58:29,CBE,Google Play
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06 19:38:32,CBE,Google Play
incredible,5,2025-09-06 13:37:57,CBE,Google Play
good,5,2025-09-06 13:37:42,CBE,Google Play
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06 00:32:45,CBE,Google Play
it's the best money transfer app ever,5,2025-09-06 00:01:23,CBE,Google Play
it is nice,5,2025-09-05 18:56:18,CBE,Google Play
user friendly. best.,5,2025-09-05 18:46:37,CBE,Google Play
🙏,5,2025-09-05 18:15:16,CBE,Google Play
አሪፍ,5,2025-09-05 15:30:57,CBE,Google Play
best app!!!,5,2025-09-05 13:08:45,CBE,Google Play
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05 09:12:26,CBE,Google Play
very good app,5,2025-09-05 02:02:36,CBE,Google Play
best,5,2025-09-05 00:13:42,CBE,Google Play
jabirabdala,5,2025-09-04 18:42:06,CBE,Google Play
unfair cost of transportations... what a shame!!!,1,2025-09-04 15:21:40,CBE,Google Play
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04 13:52:49,CBE,Google Play
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04 08:26:57,CBE,Google Play
zinaa Ahmed,5,2025-09-04 04:29:38,CBE,Google Play
absolutely excellent,5,2025-09-03 23:37:01,CBE,Google Play
nice,4,2025-09-03 19:53:11,CBE,Google Play
Good,5,2025-09-03 17:24:49,CBE,Google Play
amazing app,5,2025-09-03 15:13:30,CBE,Google Play
perfect and easy,5,2025-09-03 14:38:14,CBE,Google Play
fastest,5,2025-09-03 14:17:51,CBE,Google Play
good,5,2025-09-03 11:28:18,CBE,Google Play
My account is not working,4,2025-09-03 09:04:38,CBE,Google Play
The recent update is not optimized fir latest version of android,2,2025-09-02 15:10:49,CBE,Google Play
topp,5,2025-09-02 00:56:29,CBE,Google Play
very good,5,2025-09-01 17:10:58,CBE,Google Play
I appreciate it,5,2025-09-01 15:35:43,CBE,Google Play
